AC,AÇÃO CAUTELAR,4135
ACi,APELAÇÃO CÍVEL,4
ACO,AÇÃO CÍVEL ORIGINÁRIA,2669
ADC,AÇÃO DECLARATÓRIA DE CONSTITUCIONALIDADE,51
ADI,AÇÃO DIRETA DE INCONSTITUCIONALIDADE,5703
ADO,AÇÃO DIRETA DE INCONSTITUCIONALIDADE POR OMISSÃO,44
ADPF,ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL,483
AI,AGRAVO DE INSTRUMENTO,734650
AImp,ARGÜIÇÃO DE IMPEDIMENTO,48
AO,AÇÃO ORIGINÁRIA,2268
AOE,AÇÃO ORIGINÁRIA ESPECIAL,56
AP,AÇÃO PENAL,748
AR,AÇÃO RESCISÓRIA,1329
ARE,RECURSO EXTRAORDINÁRIO COM AGRAVO,364731
ARv,ARGUIÇÃO DE RELEVÂNCIA,8719
AS,ARGÜIÇÃO DE SUSPEIÇÃO,79
CA,CONFLITO DE ATRIBUIÇÕES,2
CC,CONFLITO DE COMPETÊNCIA,1058
CJ,CONFLITO DE JURISDIÇÃO,362
Cm,COMUNICAÇÃO,74
CR,CARTA ROGATÓRIA,6914
EI,EXCEÇÃO DE INCOMPETÊNCIA,15
EL,EXCEÇÃO DE LITISPENDÊNCIA,6
EP,EXECUÇÃO PENAL,25
ES,EXCEÇÃO DE SUSPEIÇÃO,5
EV,EXCEÇÃO DA VERDADE,6
Ext,EXTRADIÇÃO,927
HC,HABEAS CORPUS,77702
HD,HABEAS DATA,96
IF,INTERVENÇÃO FEDERAL,5104
Inq,INQUÉRITO,4154
MI,MANDADO DE INJUNÇÃO,6655
MS,MANDADO DE SEGURANÇA,11572
OACO,OPOSIÇÃO EM AÇÃO CIVIL ORIGINÁRIA,7
PA,PROCESSO ADMINISTRATIVO,2
Pet,PETIÇÃO,6336
PETA,PETIÇÃO AVULSA,15
PPE,PRISÃO PREVENTIVA PARA EXTRADIÇÃO,705
PSV,PROPOSTA DE SÚMULA VINCULANTE,121
QC,QUEIXA-CRIME,1
RC,RECURSO CRIME,16
Rcl,RECLAMAÇÃO,28353
RE,RECURSO EXTRAORDINÁRIO,581829
RHC,RECURSO ORDINÁRIO EM HABEAS CORPUS,5900
RHD,RECURSO ORDINÁRIO EM HABEAS DATA,3
RMI,RECURSO ORDINÁRIO EM MANDADO DE INJUNÇÃO,4
RMS,RECURSO ORD. EM MANDADO DE SEGURANÇA,2624
Rp,REPRESENTAÇÃO,217
RvC,REVISÃO CRIMINAL,3769
SE,SENTENÇA ESTRANGEIRA,5034
SEC,SENTENÇA ESTRANGEIRA CONTESTADA,203
SL,SUSPENSÃO DE LIMINAR,1056
SS,SUSPENSÃO DE SEGURANÇA,4923
STA,SUSPENSÃO DE TUTELA ANTECIPADA,860
SUM.,SÚMULA,736
SUM. VINC.,SÚMULA VINCULANTE,56
