AC,APELAÇÃO CIVEL,24
Ag,AGRAVO DE INSTRUMENTO,1426822
Ag/RE,AGRAVO DE INSTRUMENTO PARA STF,2
Ag/RHC,AGRAVO DE INSTRUMENTO EM RHC PARA STF,8
Ag/RMS,AGRAVO DE INSTRUMENTO EM RMS PARA STF,23
AgPres,AGRAVO DE INSTRUMENTO PARA O PRESIDENTE,1
AIA,AÇÃO DE IMPROBIDADE ADMINISTRATIVA,57
APn,AÇÃO PENAL,863
AR,AÇÃO RESCISÓRIA,6160
AREsp,AGRAVO EM RECURSO ESPECIAL,1189739
CAt,CONFLITO DE ATRIBUIÇÃO,261
CC,CONFLITO DE COMPETÊNCIA,155793
Com,COMUNICAÇÃO,31
CR,CARTA ROGATÓRIA,11373
EAg,EMBARGOS DE DIVERGÊNCIA EM AGRAVO,134
EAREsp,EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,3791
EREsp,EMBARGOS DE DIVERGÊNCIA EM RESP,3405
ERMS,EMBARGOS DE DIVERGÊNCIA EM RMS,1
ExeAR,EXECUÇÃO EM AÇÃO RESCISÓRIA,2
ExeMS,EXECUÇÃO EM MANDADO DE SEGURANÇA,13
ExImp,EXCEÇÃO DE IMPEDIMENTO,20
ExSusp,EXCEÇÃO DE SUSPEIÇÃO,185
ExVerd,EXCEÇÃO DA VERDADE,61
HC,HABEAS CORPUS,431338
HD,HABEAS DATA,306
HDE,HOMOLOGAÇÃO DE DECISÃO ESTRANGEIRA,4
IDC,INCIDENTE DE DESLOCAMENTO DE COMPETÊNCIA,11
IF,INTERVENÇÃO FEDERAL,120
IJ,INTERPELAÇÃO JUDICIAL,143
Inq,INQUÉRITO,917
MC,MEDIDA CAUTELAR,25857
MI,MANDADO DE INJUNÇÃO,243
MISOC,MEDIDAS INVESTIGATIVAS SOBRE ORGANIZAÇÕES CRIMINOSAS,1
MS,MANDADO DE SEGURANÇA,23887
NC,NOTÍCIA-CRIME,328
Pet,PETIÇÃO,10661
Prc,PRECATÓRIO,3720
PUIL,PEDIDO DE UNIFORMIZAÇÃO DE INTERPRETAÇÃO DE LEI,6
Rcl,RECLAMAÇÃO,31570
REsp,RECURSO ESPECIAL,1711468
RHC,RECURSO EM HABEAS CORPUS,72202
RMS,RECURSO EM MANDADO DE SEGURANÇA,54492
RO,RECURSO ORDINÁRIO,167
Rp,REPRESENTAÇÃO,454
RPV,REQUISIÇÃO DE PEQUENO VALOR,2520
RvCr,REVISÃO CRIMINAL,3421
Sd,SINDICÂNCIA,522
SE,SENTENÇA ESTRANGEIRA,16065
SEC,SENTENÇA ESTRANGEIRA CONTESTADA,197
SL,SUSPENSÃO DE LIMINAR,123
SLS,SUSPENSÃO DE LIMINAR E DE SENTENÇA,2203
SS,SUSPENSÃO DE SEGURANÇA,2898
STA,SUSPENSÃO DE TUTELA ANTECIPADA,104
TP,PEDIDO DE TUTELA PROVISÓRIA,5
SUM.,SÚMULA,605
